Model,Original,Rotate 45,Rotate 90,Gaussian Noise
VGG-Face,0.8333333333333334,0.0,0.0,0.0
Facenet,0.5,0.0,0.0,0.0
Facenet512,0.16666666666666666,0.0,0.0,0.0
OpenFace,0.25,0.0,0.0,0.0
DeepFace,0.25,0.0,0.0,0.0
DeepID,0.25,0.0,0.0,0.0
ArcFace,0.8333333333333334,0.0,0.0,0.0
Dlib,0.833333333333334,0.0,0.0,0.0
SFace,0.8333333333333334,0.0,0.0,0.0
GhostFaceNet,0.6666666666666666,0.0,0.0,0.0
